Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
C1R	100	13136.19	8132.26	11767.04	5030.59	7910.51	6121.14	3756.77	7988.45	1273.09	7998.54	6592.76	4225.78	8717.39	15564.85	12221.28	2636.86	3892.61	10887.2	6475.7	11201.65	4688.88	18811.7	3985.5	7507.43
C1S	100	4806.83	9523.11	10186.48	4011.28	6719.53	3637.07	2852.32	8093.77	558.49	4793.31	3184.72	2277.99	4240.02	9554.73	7872.71	1465.47	1795.33	9000.94	4112	4562.88	2843.36	10332	3400.93	5024.34
C2	100	1540.07	371.84	1648.06	1866.58	1612.62	1396.12	2258.91	2494.31	1205.8	3296.7	1409.82	989.27	579.28	819.64	837.3	516.26	1453.49	1309.2	941.15	926.47	1138.59	709.65	802.51	1379.32
C3	100	12843.1	1432.49	17924.3	8135.82	11735.19	5543.83	1780.22	12185.42	1671.43	7248.16	3897.4	7765.75	7743.88	14725.38	14496.53	5464.87	6622.78	19439.62	10834.07	6146.57	728.82	18065.97	5097.18	14661.23
C3AR1	100	273.73	72.85	470.61	268.09	317.8	190.27	157.73	315.96	153.42	715.05	704.91	270.04	466.64	318.93	290.68	212.39	117.88	760.09	199.98	338.74	650.62	721.68	385.2	581.73
C4B	100	2536.82	743.68	1224.33	936.16	3217.38	919.63	526.12	2120.42	3287.69	958.25	745.69	7192.25	2111.97	1049.33	1057.24	2748.77	1044.56	3613.23	2071.98	3752.22	356.59	2658.18	3630.7	6562.88
C4BPA	75	80.18	27.44	35.62	9	10.5	11.75	10.12	11.62	30.95	10.88	95.15	32.08	60.34	33.05	12.86	295.71	411.66	104.79	81.44	98.44	103.22	204.48	86.16	113.29
C5	100	91.24	120.16	95.62	41.58	58.21	41.47	36.4	52.66	95.55	45.73	198.07	110.96	213.21	90.89	54.02	128.25	46.24	322.76	187.61	182.4	287.78	336.78	201.05	208.2
C6	100	587.55	96.51	187.49	116.12	28.32	56.11	109.2	84.26	29.61	35.34	267.98	179.14	438.48	90.89	28.3	455	175	375.85	289.66	205.56	353.46	565.31	238.22	269.43
C7	95.83	4483.34	10917.75	5450.41	2867.25	394.9	2793.87	1637.93	5848.72	15.25	650.61	87.39	763.34	4356.69	970.01	1949.85	2079.75	360.88	5076.13	2883.24	86.86	193.94	3704.61	594.7	1281.35
C8A	70.83	11.75	13.25	9.88	17.2	10.5	11.75	10.12	11.62	15.25	31.18	203.9	94.92	144.82	11.57	14.15	51.46	12.69	268.27	177.3	144.76	265.88	216.5	168.95	165.33
C8B	95.83	26.27	26.49	43.12	25.81	37.76	34.15	24.27	22.82	30.95	10.88	147.58	66.84	136.77	33.05	11.58	51.46	21.76	213.78	114.42	144.76	172.04	312.73	125.02	90.32
C8G	95.83	38.71	17.98	35.62	101.79	10.5	26.02	24.27	29.84	32.3	60.28	69.91	24.06	72.41	39.66	25.72	37.58	46.24	170.46	137.1	92.65	78.2	228.53	77.72	59.7
C9	87.5	29.03	22.71	71.25	18.64	10.5	11.75	25.37	11.62	28.26	45.73	234.97	164.43	233.32	44.62	18.01	132.33	14.51	308.79	221.63	170.82	334.7	204.48	199.36	238.82
CAMP	91.67	29.03	12.88	46.87	18.64	10.5	14.64	18.75	24.57	25.57	39.49	151.47	69.52	144.82	13.22	12.86	79.24	28.11	185.83	85.56	112.91	115.74	156.36	64.2	139.31
CARD11	100	330.41	67.18	493.11	830.07	404.34	221.98	108.09	291.38	598.86	403.25	236.91	371.64	273.55	627.95	474.6	120.9	77.98	509.99	237.09	330.06	231.47	324.75	348.03	454.67
CARD9	100	199.08	24.6	125.62	182.07	173.06	43.1	69.49	57.93	204.56	363.76	285.46	161.76	120.68	112.37	68.17	226.27	264.77	250.1	220.6	147.66	209.58	180.42	121.64	312.3
CASP1	100	700.91	361.43	918.71	427.22	479.85	166.69	408.1	563.46	947.42	688.02	510.72	359.61	378.14	348.68	392.28	461.53	382.64	543.52	171.12	199.77	594.32	529.23	255.11	575.61
CASP10	100	35.94	36.9	58.12	35.84	36.19	30.9	18.75	50.9	30.95	56.12	250.51	173.79	265.5	39.66	23.15	63.72	11.79	482.04	202.04	179.5	475.46	372.87	224.7	275.56
CASP3	100	402.3	297.09	669.35	405.72	730.01	207.34	950.77	438.83	950.11	658.92	588.4	747.3	470.67	593.25	643.09	579.16	562.17	923.57	466.97	373.48	991.58	721.68	493.33	979.76
CASP8	100	966.34	579.05	1346.2	936.16	909.36	573.25	956.29	810.96	955.49	1238.86	879.68	990.61	941.33	923.74	1080.39	726.2	649.22	1439.14	889.61	616.68	1263.71	637.48	1104.92	1103.76
CCL1	62.5	11.75	13.25	22.5	9	10.5	11.75	10.12	11.62	15.25	10.88	170.89	89.57	189.07	21.48	11.58	65.35	7.62	248.71	103.08	112.91	253.37	372.87	119.95	142.37
CCL11	100	163.13	19.87	174.37	111.82	135.3	17.89	23.16	59.68	44.41	259.83	413.63	135.02	241.37	504.01	213.51	138.05	29.02	489.03	364.92	234.51	459.82	445.03	217.94	231.16
CCL13	83.33	235.02	12.88	65.62	15.77	10.5	11.75	31.99	11.62	68.63	68.59	141.76	42.78	390.21	61.14	106.75	31.04	44.43	212.38	115.45	83.96	322.18	420.98	81.1	88.79
CCL14	95.83	158.98	167.47	637.48	805.7	66.08	21.14	37.5	212.39	15.25	97.7	108.75	221.92	2417.7	62.79	271.38	170.73	23.58	642.72	208.23	115.81	578.68	3704.61	268.63	300.05
CCL15	58.33	11.75	12.88	18.75	9	10.5	11.75	10.12	11.62	15.25	10.88	170.89	66.84	177	18.18	10.29	54.73	7.62	318.57	150.5	159.24	247.11	396.92	158.81	168.4
CCL16	70.83	11.75	17.98	45	25.81	10.5	11.75	10.12	11.62	15.25	10.88	201.96	92.24	249.41	23.13	16.72	55.55	8.16	435.93	171.12	188.19	278.39	276.64	167.26	192.89
CCL17	91.67	41.47	13.25	65.62	17.2	10.5	13.01	23.16	21.06	15.25	31.18	87.39	88.23	76.43	29.74	63.02	86.59	16.32	273.86	85.56	121.6	121.99	228.53	97.99	177.58
CCL18	100	239.17	26.49	219.37	55.91	47.2	258.57	52.94	93.03	41.72	311.79	299.05	113.63	1235	224.74	288.1	20.42	50.78	414.98	135.04	153.45	2502.4	1058.46	180.77	228.1
CCL19	95.83	29.03	21.76	1856.18	609.29	56.64	11.75	63.97	212.39	32.3	220.33	133.99	942.48	3322.83	556.89	361.42	231.17	66.19	2235.56	182.46	185.29	303.42	2321.39	182.46	344.45
CCL2	100	2091.67	562.97	2876.14	1022.17	1283.81	583	1327.99	819.73	625.78	1359.42	949.59	509.34	539.05	1593.01	935.05	515.45	1471.63	1123.37	693.75	1320.22	2561.84	757.76	400.41	609.29
CCL20	100	171.43	23.65	65.62	338.34	89.68	98.39	111.4	121.12	69.98	388.7	567.04	156.41	225.28	64.45	54.02	58	41.71	292.02	198.95	193.98	306.54	336.78	344.65	177.58
CCL21	95.83	78.8	380.36	654.35	1152.63	88.1	16.26	16.54	96.54	15.25	365.84	295.17	183.15	3427.42	309.02	515.76	182.16	29.02	631.55	163.9	130.29	265.88	2285.31	190.91	205.14
CCL22	83.33	45.62	12.88	63.75	12.9	10.5	11.75	18.75	22.82	15.25	29.1	130.11	117.64	120.68	51.23	36.01	47.38	13.6	245.91	105.15	118.7	197.06	252.59	96.3	133.19
CCL23	41.67	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	75.73	41.44	88.5	6.88	7.38	8.38	7.62	97.81	28.86	40.53	100.1	204.48	59.13	65.83
CCL24	0	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	8.12	7.5	5.62	6.88	7.38	8.38	7.62	7.5	9.62	9.12	9	9.25	7.88	8.88
CCL25	91.67	19.35	23.65	18.75	93.19	29.89	13.01	48.53	11.62	21.53	10.88	130.11	93.58	160.91	14.87	16.72	43.29	8.16	279.45	196.89	98.44	284.65	300.7	175.71	171.46
CCL26	87.5	26.27	86.1	50.62	25.81	17.31	11.75	10.12	29.84	15.25	45.73	143.7	118.98	181.03	57.84	27.01	115.18	15.41	247.31	76.28	144.76	193.94	180.42	108.13	171.46
CCL27	79.17	19.35	17.98	9.88	20.07	10.5	13.01	15.44	11.62	15.25	10.88	60.2	64.17	100.57	24.79	18.01	27.77	14.51	104.79	76.28	40.53	112.61	156.36	64.2	78.07
CCL28	75	16.59	13.25	9.88	414.32	10.5	13.82	211.77	445.85	1002.59	39.49	25.24	16.04	5.62	24.79	27.01	57.18	53.5	26.55	9.62	40.53	9	9.25	141.92	437.83
CCL3	100	176.96	77.59	1396.82	156.27	621.45	312.24	77.21	537.13	160.15	848.08	557.33	177.8	358.03	261.09	136.34	289.99	174.09	783.84	310.28	376.38	725.7	601.4	361.55	515.91
CCL3L1	100	225.34	115.43	2324.91	259.49	1032.08	546.41	115.81	977.71	207.25	931.22	475.77	165.77	277.57	223.09	236.66	218.1	320.98	521.17	216.48	222.93	553.66	324.75	244.98	384.25
CCL4	100	100.92	65.29	1027.46	184.94	418.5	195.15	138.98	458.14	156.11	565.39	850.55	235.29	366.07	130.55	86.17	178.89	174.09	878.86	432.95	225.83	750.72	360.84	305.8	558.77
CCL5	100	388.47	92.72	1938.67	475.96	473.56	45.53	526.12	398.46	784.58	1852.05	539.85	316.83	547.1	175.16	460.45	445.19	162.31	1787.05	537.06	182.4	853.95	721.68	402.1	1114.48
