Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
CXCR4	100	2587.98	509.98	9950.24	4011.28	3508.44	6087.8	8755.49	1999.31	1240.79	3596.02	2623.51	2081.47	977.54	5753.99	10285.58	1612.5	5428.61	2605.83	7696.21	5686.23	3881.85	1166.71	1305.97	953.74
CXCR5	83.33	17.97	20.82	262.49	27.24	33.04	11.75	10.12	24.57	15.25	10.88	58.26	46.79	96.55	26.44	25.72	48.2	15.41	305.99	63.91	92.65	131.38	204.48	89.54	88.79
CXCR6	100	73.27	27.44	153.74	55.91	84.96	17.89	129.05	45.64	59.21	99.77	238.85	163.1	265.5	42.96	83.6	115.18	51.68	417.77	180.4	121.6	312.8	348.81	138.54	280.15
CYBB	100	709.2	167.47	1599.31	801.4	689.1	574.06	447.81	730.21	605.59	3427.65	1600.13	516.02	1094.2	636.21	659.81	610.2	432.51	1961.71	435.01	382.17	1219.92	1142.65	484.88	1717.65
CYFIP2	100	543.31	227.08	742.47	592.09	597.85	205.72	263.61	143.94	178.99	168.37	279.63	660.4	478.71	614.73	803.86	372.49	417.1	829.95	328.84	460.34	760.1	962.24	314.24	503.66
CYLD	100	1003.67	1035.1	1749.31	1188.47	1024.21	546.41	839.37	747.77	1116.98	1756.44	937.94	644.36	1182.7	746.93	671.39	582.43	525	1313.39	924.66	544.3	744.46	986.29	586.25	1080.8
DDX43	91.67	26.27	32.17	30	54.48	10.5	12.2	15.44	33.35	139.96	10.88	151.47	90.91	136.77	39.66	14.15	17.97	17.23	250.1	280.39	83.96	175.17	204.48	138.54	209.73
DDX58	100	552.99	604.6	584.98	768.42	918.8	510.64	981.66	1553.46	1989.03	902.12	708.79	577.52	289.64	722.14	1061.1	986.78	1155.18	454.1	296.88	257.68	1022.86	469.09	871.77	551.12
DEFB1	100	99.54	66.23	54.37	140.5	100.69	73.18	341.93	145.69	26.92	70.67	149.53	139.03	136.77	69.4	27.01	44.93	66.19	283.64	238.12	150.55	253.37	324.75	201.05	122.47
DMBT1	100	146.54	24.6	37.5	80.28	59.79	73.18	30.88	28.09	25.57	35.34	17.48	113.63	24.14	312.32	39.87	27.77	126.94	16.77	17.52	98.44	78.2	228.53	60.82	45.93
DOCK9	100	1631.31	1296.24	935.59	1232.92	1740.06	595.2	1455.94	1516.6	715.94	1646.27	1120.48	1080.17	925.24	953.49	969.78	519.53	617.49	469.47	495.83	405.33	819.54	1010.35	623.42	523.56
DPP4	95.83	2217.47	263.03	314.99	174.9	151.04	69.93	38.6	1102.34	99.59	677.63	335.95	66.84	438.48	74.36	77.17	36.76	33.55	187.23	13.4	95.54	175.17	9.25	233.15	232.69
DUSP4	100	1180.63	60.55	369.36	120.42	232.85	42.28	135.67	159.73	107.66	149.66	339.83	249.99	305.73	71.06	145.34	105.38	169.56	483.44	154.63	202.67	340.95	360.84	211.19	248
DUSP6	100	3421.6	1235.69	1918.05	1685.94	3780.62	1933.59	2597.53	2887.5	2450.63	1918.57	1104.94	2007.95	901.11	740.32	806.43	886.3	1305.7	957.1	663.86	929.37	1316.89	902.1	932.6	1394.63
EBI3	66.67	11.75	12.88	20.62	20.07	20.45	11.75	13.24	26.33	24.22	51.97	8.12	12.03	5.62	6.88	16.72	20.42	9.07	37.73	13.4	9.12	28.15	9.25	13.52	26.02
ECSIT	100	525.34	513.77	328.11	410.02	396.47	182.95	286.78	340.53	275.88	318.03	382.55	641.69	764.33	388.34	311.26	448.46	439.77	414.98	543.25	214.25	453.56	445.03	337.9	263.31
EGR1	100	1472.33	3402.4	2152.42	1267.32	1628.36	474.86	189.71	702.13	1112.94	511.34	326.24	239.3	164.93	647.78	357.56	66.17	280.18	261.28	157.72	448.76	203.32	264.61	109.82	361.29
EGR2	100	286.17	602.7	1267.45	250.88	775.63	144.73	98.17	328.24	165.53	205.78	161.18	183.15	156.89	180.12	147.91	71.07	141.45	373.06	124.73	292.42	391	252.59	153.74	290.87
ELANE	100	27.65	19.87	56.25	21.5	42.48	24.39	28.68	96.54	43.06	41.57	17.48	20.05	40.23	26.44	23.15	18.79	19.95	29.34	12.37	34.74	78.2	204.48	40.55	36.74
ELK1	100	1025.79	1165.67	281.24	666.64	353.99	1761.21	463.25	208.88	768.43	733.75	236.91	295.44	217.23	194.99	221.22	134.78	158.68	294.81	657.67	891.73	469.2	288.67	207.81	234.22
ENG	100	2281.07	3044.75	1488.69	1145.47	1087.14	824.5	852.61	1140.96	515.43	2436.15	945.71	549.44	1749.92	940.27	852.74	495.02	473.31	994.83	696.84	359.01	2008.18	2080.83	685.93	753.19
ENTPD1	100	128.57	103.13	343.11	311.1	173.06	68.3	100.37	224.68	64.6	166.29	448.58	220.58	486.76	247.87	248.23	293.26	236.66	586.84	276.26	147.66	547.4	721.68	310.87	350.57
EOMES	91.67	16.59	12.88	54.37	21.5	25.17	11.75	13.24	29.84	26.92	45.73	40.78	38.77	72.41	26.44	19.29	31.86	10.88	107.59	59.79	28.95	43.79	132.31	47.31	67.36
EP300	100	1675.55	1846.91	1595.56	1535.41	1422.26	1040.79	1362.19	2039.68	752.28	1238.86	1873.93	1168.41	1452.23	1444.28	1270.75	1393.58	1472.54	1441.94	1077.22	1105.98	1238.69	1238.88	1755.38	1128.26
EPCAM	100	3745.1	1131.61	2317.41	5251.37	5383.81	6626.09	3199.76	4962.29	8528.08	6117.39	2106.96	3445.06	100.57	5535.86	6371.73	9890.67	10725.75	723.76	411.3	2770.74	1395.09	541.26	3721.94	2513.7
ETS1	100	958.05	1304.76	2769.27	873.08	1356.18	323.62	523.92	1155	635.2	1488.29	1023.38	923.76	2075.76	1333.56	1365.92	816.05	772.54	2294.25	842.19	700.65	2402.31	2201.11	1126.89	1330.33
EWSR1	100	1935.45	1512.91	1655.56	1728.95	1623.64	978.99	1947.87	1642.98	1238.1	2269.86	1941.9	1493.26	1536.71	1488.9	1410.94	302.24	250.26	1644.54	1630.78	955.43	1773.58	1419.3	2047.66	1432.9
F12	83.33	58.06	12.88	22.5	48.74	10.5	15.45	83.83	26.33	41.72	10.88	56.32	29.41	64.36	21.48	14.15	31.86	62.56	96.41	55.67	49.22	121.99	9.25	87.85	44.4
F13A1	100	3311	349.13	5268.54	1509.61	1784.11	524.46	655.17	1837.82	561.18	1606.78	1503.03	1244.61	5434.79	3123.22	3234.74	1079.9	1112.56	2752.54	882.39	1288.38	3056.06	7024.32	525.43	1514.04
F2RL1	100	351.15	101.24	84.37	336.9	303.65	443.15	326.48	124.63	413.15	692.18	468	267.37	160.91	252.83	284.25	249.15	159.59	198.41	272.14	214.25	228.34	180.42	174.02	229.63
FADD	100	117.51	85.15	133.12	116.12	177.78	138.23	120.23	112.34	226.09	382.47	229.14	228.6	168.96	112.37	115.76	55.55	92.49	185.83	113.39	214.25	231.47	276.64	123.33	130.12
FAS	95.83	156.22	168.42	268.11	93.19	129.01	41.47	72.8	117.61	43.06	101.85	106.8	92.24	72.41	224.74	217.36	59.63	58.94	163.48	50.51	55.01	87.58	9.25	81.1	117.88
FCER1A	100	304.14	36.9	140.62	74.55	29.89	21.95	45.22	61.44	21.53	49.89	19.42	41.44	309.76	297.45	91.32	69.43	27.2	117.37	19.59	40.53	37.54	252.59	37.17	52.05
FCER1G	100	706.44	131.52	1051.83	662.33	544.36	367.53	411.41	631.91	915.12	2943.33	2178.81	503.99	724.1	1036.11	1046.95	500.74	592.1	1531.36	525.73	474.82	2270.93	866.01	658.9	1899.82
FCER2	62.5	11.75	12.88	243.74	32.97	10.5	11.75	10.12	26.33	15.25	22.86	31.07	21.39	140.8	6.88	7.38	8.38	12.69	89.42	19.59	52.11	40.66	216.5	28.72	36.74
FCGR1A	100	52.53	40.68	97.5	44.44	92.82	38.22	55.15	68.46	48.45	110.17	234.97	116.31	172.98	92.54	106.75	130.7	70.73	318.57	189.67	124.49	269.01	288.67	167.26	194.42
FCGR2A	100	1844.21	352.92	2724.27	1657.27	1930.43	935.08	1068.79	1481.49	1561.08	5394.03	3316.77	985.26	1041.9	1407.93	1884.25	1001.48	1099.87	1685.06	977.23	1407.08	2799.56	1732.02	770.41	1758.98
FCGR2B	100	1428.09	49.2	1655.56	1136.86	471.99	726.11	650.76	854.84	279.92	1583.91	792.3	282.08	933.29	228.04	457.88	419.87	571.24	1567.69	440.17	842.51	1088.55	805.87	804.2	1001.19
FCGR3A	100	746.53	178.82	2345.53	1341.87	1944.59	974.11	959.6	1455.16	1026.82	2365.47	2260.37	766.01	438.48	1077.43	1398.08	854.45	643.78	2630.98	1029.8	497.98	3594.08	1274.96	1419.17	2282.54
FEZ1	100	273.73	366.16	521.23	242.28	423.22	200.84	100.37	272.07	76.71	486.4	502.95	288.76	482.74	613.08	333.12	190.33	149.61	740.53	289.66	408.23	519.25	829.93	402.1	454.67
FLT3	87.5	17.97	12.88	50.62	28.67	20.45	11.75	13.24	26.33	15.25	43.65	81.56	90.91	112.64	18.18	19.29	31.86	19.95	204	120.61	78.17	181.42	264.61	81.1	82.67
FLT3LG	100	217.05	210.99	404.98	222.21	130.58	47.16	123.53	168.51	172.26	307.64	167	160.42	382.17	194.99	192.93	158.47	126.04	456.89	245.34	112.91	328.44	300.7	184.15	295.46
FN1	100	13875.8	4301.25	64737.48	16925.37	58117.41	3110.17	2499.36	31464.09	3598.56	25417.41	27472.08	22183.67	4642.3	85475.3	67063.98	3505.19	12270.83	38696.21	6912.78	27024.08	24282.69	7252.85	44707.16	8776.53
FOS	100	19852.21	37480.29	35601.11	15834.38	24401.76	11640.58	2049.35	15007.97	8431.19	3219.79	617.52	628.32	333.89	4919.48	2204.51	571.81	2672.14	442.92	381.41	1699.5	678.78	673.56	1571.22	1961.06
FOXJ1	100	3156.17	581.89	226.87	646.56	330.39	670.01	2689.08	842.55	337.79	631.9	450.52	517.36	136.77	188.38	172.35	84.14	474.22	117.37	127.82	393.75	563.04	312.73	699.45	223.51
FOXP3	100	37.33	28.38	146.24	41.58	26.75	19.51	27.57	49.15	33.64	133.03	174.77	106.95	152.87	49.57	56.59	82.5	38.99	522.56	197.92	350.32	297.16	324.75	130.09	228.1
FPR2	100	45.62	25.55	43.12	60.21	37.76	38.22	57.36	50.9	41.72	87.3	194.19	72.19	164.93	51.23	30.87	31.86	17.23	326.95	134.01	138.97	359.72	300.7	157.12	189.83
FUT5	95.83	22.12	18.92	41.25	12.9	34.61	18.7	41.91	22.82	15.25	24.94	157.29	147.05	189.07	28.09	16.72	83.32	19.95	294.81	127.82	173.71	209.58	324.75	109.82	169.93
FUT7	87.5	27.65	12.88	73.12	24.37	45.63	11.75	10.12	31.6	24.22	35.34	118.46	57.48	88.5	38.01	48.87	47.38	21.76	195.61	117.52	107.12	184.55	324.75	59.13	117.88
FYN	100	1036.85	1358.69	2026.8	798.53	975.44	477.3	765.47	491.49	266.46	1881.15	912.69	573.51	1106.27	776.67	682.96	817.69	957.51	1214.19	699.94	402.44	1032.24	1202.79	461.23	465.39
GAGE1	91.67	40.09	17.03	30	9	22.03	24.39	18.75	31.6	25.57	39.49	359.25	209.89	563.19	26.44	7.38	53.91	21.76	373.06	203.07	645.64	738.21	2369.5	261.87	280.15
GATA3	79.17	17.97	13.25	26.25	12.9	23.6	11.75	25.37	11.62	15.25	10.88	73.79	33.42	60.34	29.74	11.58	66.17	13.6	131.34	47.42	89.75	71.94	9.25	77.72	71.95
GNLY	100	142.39	82.32	118.12	186.37	136.88	197.59	453.33	66.7	549.07	604.88	231.09	127	148.84	61.14	99.04	90.67	31.74	266.87	109.27	295.31	369.1	336.78	138.54	416.4
GPI	100	3082.9	1593.34	2587.4	5667.12	1859.63	2058.81	2739.81	2991.06	3076.41	1968.46	1151.55	1463.85	2333.22	2954.66	2738.28	7065.93	5263.59	1183.45	3585.24	1800.83	2593.12	950.21	3301.25	1197.15
GTF3C1	100	858.51	816.54	851.22	1050.85	769.34	678.95	722.46	835.53	859.94	1003.98	860.26	687.14	808.58	973.32	787.14	856.08	776.16	941.73	989.6	1077.03	929.02	950.21	1206.29	832.8
GZMA	100	268.2	27.44	1066.83	194.97	215.54	35.78	297.81	159.73	394.31	619.43	382.55	276.73	526.99	62.79	264.95	371.68	82.51	1348.32	277.29	240.3	522.38	408.95	275.39	705.74
GZMB	100	114.74	27.44	262.49	202.14	118	54.48	282.36	45.64	387.58	263.99	233.03	165.77	583.3	42.96	176.21	66.17	64.38	600.81	226.78	220.04	569.3	493.15	214.56	364.35
GZMH	100	60.83	15.14	146.24	48.74	78.66	15.45	54.05	49.15	40.37	116.4	159.24	97.59	205.16	31.4	41.16	97.21	19.04	359.09	144.32	104.23	297.16	264.61	168.95	191.36
GZMK	95.83	156.22	17.03	1229.95	100.35	59.79	11.75	23.16	177.29	28.26	342.97	277.69	193.84	555.15	44.62	204.5	215.65	43.52	1194.63	177.3	162.13	303.42	505.17	226.39	255.66
GZMM	66.67	19.35	12.88	56.25	14.34	10.5	11.75	10.12	11.62	15.25	33.26	54.37	26.74	96.55	6.88	11.58	22.87	7.62	206.79	37.11	66.59	96.97	192.45	47.31	75.01
HAMP	79.17	160.37	19.87	71.25	30.11	47.2	31.71	38.6	47.39	40.37	35.34	8.12	20.05	5.62	34.7	42.44	24.51	28.11	279.45	9.62	9.12	62.56	9.25	108.13	41.33
HAVCR2	100	174.19	45.42	354.36	282.42	352.42	161.81	144.49	321.22	176.29	367.92	448.58	335.55	317.8	249.53	351.13	170.73	166.84	674.86	302.03	263.47	710.06	673.56	348.03	632.25
HCK	100	280.64	53.93	511.86	227.95	144.74	134.16	189.71	198.35	168.22	1153.64	800.06	219.24	462.62	497.4	268.81	287.54	187.69	726.56	252.55	361.9	719.44	673.56	422.37	610.82
HLA-A	100	4533.1	3512.15	13373.85	7506.46	9452.34	5545.46	5662.72	7402.18	20039.72	13750.09	14680.78	10713.51	6243.38	7031.37	7971.74	6449.19	8004.64	11432.11	7278.72	6792.21	12483.86	4197.75	4326.77	13251.29
HLA-B	100	6031.7	3803.57	16713.1	7332.99	9307.6	8349.08	6675.27	9378.67	41744.14	31705.24	13657.39	9730.92	7349.64	7847.7	9913.87	5963.97	7897.65	14116.19	6817.94	10240.43	13556.77	5472.71	5588.82	16029.83
HLA-C	100	2398.58	2618.97	7704.08	2901.66	2902.72	1953.92	2005.23	3408.83	22627.61	12305.45	6252.92	4232.46	3346.96	2434.12	2841.17	4191.36	5999.86	10708.35	3698.63	3760.9	6578.19	4101.53	3607.05	13084.42
HLA-DMA	100	1996.28	321.69	1604.94	705.34	846.43	636.67	1666.61	761.81	1839.65	1660.82	1551.58	1021.35	957.42	637.86	734.41	791.55	370.85	1768.89	470.06	1464.99	1554.62	1202.79	758.58	2242.74
HLA-DMB	100	2087.52	685.97	2441.16	950.49	1014.77	1155.44	3005.63	921.54	1648.56	1378.13	1336.03	918.42	897.08	687.44	872.03	776.84	364.51	2148.94	478.31	2188.79	1701.63	1070.49	670.73	2224.37
HLA-DOB	100	105.07	117.32	742.47	162	111.7	75.62	153.31	375.64	492.55	241.12	300.99	288.76	498.83	233	333.12	284.27	150.52	709.79	230.91	318.48	381.62	360.84	378.44	662.87
HLA-DPA1	100	7220.62	1246.09	4962.93	3149.67	3086.8	2401.95	4221.12	3229.79	4379.1	3720.74	2477.87	3116.19	2755.61	2677.04	3711.91	3018.34	1177.85	6098.9	2615.23	7293.09	6584.45	3464.05	2245.33	11259.61
HLA-DPB1	100	8470.37	1488.31	11423.93	3165.44	4037.07	1714.05	4874.09	3589.63	3844.84	8008.94	4398.41	2979.84	2618.84	3131.48	4181.37	4350.65	1895.07	9853.25	2201.86	3216.6	7432.14	3620.41	2206.47	9042.9
HLA-DQA1	66.67	5251.99	12.88	20.62	4421.3	10.5	1328.63	10.12	11.62	15.25	8950.55	5460.63	14.71	1729.8	2254	3139.56	1725.23	809.71	86.63	3874.91	8703.06	9	9.25	47.31	8.88
HLA-DQB1	87.5	1020.26	12.88	26.25	1435.06	22.03	243.93	10.12	26.33	15.25	1037.23	702.97	14.71	362.05	399.9	419.29	219.74	236.66	34.93	971.05	940.95	56.3	132.31	20.27	27.56
HLA-DRA	100	29388.45	5466.92	37344.8	13597.93	18618.34	14066.1	24591.05	13610.74	22937.14	26300.82	8695.83	7882.06	5462.95	11707.93	14156.98	12132.17	7020.84	27417.79	7301.4	22574.11	23316.14	10957.46	6948.85	37253.93
HLA-DRB3	100	13711.29	2484.62	13193.86	6859.89	7081.39	6210.58	9757.01	4105.69	49964.04	40944.72	13595.25	4962.38	5084.81	3866.84	3792.94	3643.24	1817.09	9042.85	2551.32	8103.75	9931.41	4185.72	2605.19	10820.25
HLA-DRB4	79.17	17.97	15.14	3238	12.9	1576.44	2555.63	10.12	2302.98	3092.56	3107.54	1514.68	894.35	5.62	1128.65	1131.84	8.38	7.62	2025.98	9.62	1572.11	37.54	204.48	1304.28	3340.38
HLA-E	100	4440.48	2879.17	9344.64	3558.26	4877.21	2780.05	4807.91	4216.28	8342.37	8480.78	4901.36	4201.72	4815.28	2928.22	3684.9	3372.86	2830.82	7839.84	2893.55	3613.25	6665.78	4967.54	3537.78	7464.56
HLA-G	100	955.28	844.92	2261.16	815.73	1489.91	783.03	1264.02	1681.6	3540.7	721.28	829.19	1375.62	1029.83	1009.67	1188.43	990.05	1194.17	1592.84	786.53	1071.24	2139.55	974.26	652.14	2395.83
HMGB1	100	2621.15	2332.29	2833.01	4434.2	3628.01	1883.18	2670.33	3747.61	2014.6	1966.38	3856.62	5838.02	4372.78	3118.26	3237.31	2953.8	3269.68	5417.05	6399.42	3592.98	5786.81	4726.98	5350.6	4413.52
HRAS	100	235.02	173.15	238.12	121.86	303.65	166.69	297.81	217.66	160.15	199.55	110.69	169.78	172.98	256.14	237.94	125.8	124.22	122.96	69.07	162.13	209.58	180.42	155.43	128.59
HSD11B1	100	331.79	180.72	168.74	30.11	56.64	132.54	77.21	217.66	24.22	62.36	21.36	32.08	60.34	89.23	82.32	32.67	19.95	95.01	242.25	60.8	121.99	204.48	57.44	44.4
ICAM1	100	756.21	159.9	1466.19	906.05	774.06	436.64	724.66	414.26	466.98	3433.89	3097.33	389.02	482.74	1173.27	827.01	592.23	848.7	828.56	1778.19	694.86	656.88	505.17	554.15	756.25
ICAM2	100	103.68	107.86	440.61	270.96	185.65	115.46	86.03	173.78	313.56	199.55	246.62	184.49	611.46	196.65	172.35	120.9	87.95	606.4	443.26	277.94	569.3	1058.46	299.04	500.6
ICAM3	100	329.03	165.58	1254.33	602.12	368.15	196.77	294.5	338.78	257.04	825.21	312.65	271.38	531.01	429.65	264.95	485.22	366.32	1032.55	702	283.73	487.97	733.7	385.2	713.39
ICAM4	100	35.94	29.33	153.74	75.98	56.64	26.02	14.34	63.19	34.99	284.77	254.39	84.22	124.71	80.97	38.59	146.22	36.27	352.1	191.74	159.24	234.6	288.67	116.57	171.46
ICOS	95.83	34.56	15.14	256.86	24.37	40.91	11.75	40.81	47.39	43.06	97.7	217.49	177.8	293.66	31.4	74.6	93.12	19.95	514.18	225.75	153.45	409.77	445.03	221.32	298.52
ICOSLG	100	299.99	87.99	309.36	255.19	223.41	176.45	248.17	168.51	204.56	330.5	376.73	322.18	217.23	274.31	307.4	196.87	141.45	310.18	128.85	208.46	284.65	264.61	189.22	231.16
IDO1	100	181.1	153.28	254.99	169.17	111.7	64.24	215.08	201.86	1320.19	164.21	382.55	188.5	241.37	72.71	199.36	149.49	352.72	401	320.59	147.66	1204.28	360.84	444.33	1391.57
IFI16	100	3640.03	2478.94	3616.73	2388.42	3741.29	1257.89	6253.92	2715.48	6189.15	5870.03	2169.1	1991.9	1198.79	2629.12	2944.07	1057.03	1376.42	2060.91	1008.16	854.09	2008.18	1840.28	1490.13	2126.39
IFI27	100	4300.85	3045.69	3687.98	10114.22	9991.98	265.08	9693.03	10449.41	33941.42	21557.4	7536.52	9291.1	1496.48	8819.37	13034.14	13484.9	34416.89	3554.55	13512.18	2029.56	17892.18	3632.44	6396.39	12505.75
IFI35	100	316.58	365.22	397.48	378.48	286.34	163.44	297.81	373.88	1334.99	856.39	567.04	348.92	172.98	328.85	423.15	220.56	280.18	455.5	476.25	153.45	697.54	336.78	285.52	554.18
IFIH1	100	358.06	369	468.73	533.31	379.16	239.06	337.51	675.8	1425.16	1606.78	792.3	453.19	269.53	155.33	219.94	181.35	247.54	542.12	199.98	231.62	622.47	312.73	422.37	378.13
IFIT1	100	322.11	905.48	532.48	1683.08	1428.55	320.37	993.79	3108.67	7826.94	3095.07	1271.95	870.29	450.55	591.59	1328.62	411.7	1282.12	913.79	672.1	414.02	1845.52	745.73	1066.07	1073.15
IFIT2	100	691.23	514.71	419.98	497.47	267.46	563.49	544.87	1183.08	2651.15	606.96	679.67	291.43	398.26	586.64	991.64	169.91	146.89	761.49	346.36	524.04	832.05	637.48	418.99	659.81
IFITM1	100	17795.09	6528.51	7835.32	8230.44	23497.12	1467.68	26798.12	12278.45	19750.38	8511.96	6283.99	27277.06	4533.69	6743.83	10569.82	2793.7	11102.95	5322.04	8322.96	3879.61	10810.38	6892.01	4529.51	7057.35
IFITM2	100	11449.58	2990.82	5388.54	2835.71	9826.78	1247.32	4772.62	5595.96	6521.55	7622.31	4802.32	9394.04	3596.38	5788.69	4382.01	1695.01	4398.56	5091.5	3259.5	1907.96	3759.86	5989.92	3696.59	4102.75
IFNA1	58.33	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	188.36	89.57	181.03	14.87	10.29	49.01	8.16	258.49	122.67	95.54	306.54	396.92	182.46	192.89
IFNA17	50	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	603.93	244.64	607.44	14.87	7.38	104.56	7.62	807.6	307.19	272.15	891.48	505.17	462.92	443.95
IFNA2	66.67	22.12	13.25	33.75	9	18.88	11.75	10.12	11.62	15.25	10.88	151.47	104.27	205.16	21.48	7.38	64.53	7.62	293.42	96.9	63.7	331.57	156.36	146.99	182.17
IFNA7	91.67	23.5	12.88	35.62	24.37	23.6	11.75	17.65	24.57	26.92	35.34	835.02	466.56	905.13	19.83	20.58	197.68	9.07	1761.9	677.26	567.47	1945.62	1671.88	912.32	984.36
IFNA8	50	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	242.74	98.93	225.28	11.57	7.38	64.53	7.62	303.2	126.79	115.81	322.18	336.78	131.78	183.71
IFNAR1	100	434.09	286.69	329.99	289.59	344.55	189.46	204.05	238.72	569.26	521.73	448.58	421.11	434.46	252.83	241.8	180.53	175	631.55	298.94	457.45	534.89	649.51	375.07	578.67
IFNAR2	100	1911.95	768.28	2111.17	1152.63	1699.16	982.24	1335.71	1362.13	2889.35	2211.66	1701.11	1300.75	1086.15	1660.76	1602.58	1380.51	1582.25	1611	897.86	1100.19	1263.71	1178.74	1449.58	2434.1
IFNB1	87.5	29.03	15.14	43.12	9	48.77	13.01	39.71	11.62	44.41	49.89	203.9	110.96	185.05	26.44	12.86	75.15	7.62	395.42	134.01	147.66	472.33	433.01	184.15	208.2
IFNG	91.67	11.75	13.25	54.37	27.24	18.88	11.75	20.96	38.62	30.95	33.26	227.2	173.79	229.3	26.44	19.29	71.07	11.79	389.83	224.72	272.15	287.78	493.15	177.4	263.31
IFNGR1	100	2095.82	1265.96	1953.67	1433.62	1584.31	1294.48	1380.94	2417.07	535.61	1349.03	1073.87	982.58	1528.66	1356.7	1081.68	958.19	851.42	1208.6	609.22	1013.33	969.68	793.84	1206.29	858.82
IFNL1	95.83	29.03	24.6	30	17.2	29.89	11.75	28.68	29.84	49.79	41.57	81.56	58.82	128.73	39.66	29.58	26.96	19.04	58.68	22.68	98.44	96.97	445.03	45.62	62.77
IFNL2	87.5	17.97	18.92	43.12	15.77	22.03	11.75	10.12	11.62	21.53	31.18	289.34	114.97	185.05	97.5	15.43	90.67	14.51	579.85	239.15	243.2	381.62	493.15	424.06	166.87
IGF1R	100	4097.63	3078.81	1462.44	811.43	3470.68	1536.79	1952.28	1581.54	3402.08	5404.42	2868.19	3797.99	1078.11	1887.15	1410.94	435.39	933.03	1215.59	358.73	636.95	985.32	1154.68	1295.84	1403.82
IGF2R	100	944.22	1024.69	1205.58	999.24	929.82	1169.26	549.29	1218.19	742.86	1346.95	739.86	501.32	949.38	900.61	818.01	577.53	701.81	617.57	463.88	828.04	678.78	505.17	733.24	569.49
IGLL1	66.67	11.75	17.98	9.88	9	10.5	11.75	14.34	28.09	15.25	10.88	25.24	29.41	28.16	18.18	11.58	14.7	7.62	86.63	39.17	55.01	75.07	204.48	47.31	41.33
IKBKB	100	859.89	756.93	1012.46	1055.15	1475.75	643.18	893.42	707.39	904.35	1218.07	780.64	991.94	466.64	507.32	477.17	688.62	456.99	605	446.35	382.17	603.7	529.23	486.57	544.99
IKBKE	100	396.77	149.49	568.1	521.84	473.56	295.97	601.13	221.17	645.96	1255.49	677.72	505.33	406.3	413.12	410.29	250.78	496.89	821.57	527.79	312.68	541.14	517.2	381.82	707.27
IKBKG	100	283.41	301.83	434.98	617.89	302.07	153.68	187.51	321.22	376.81	650.61	693.26	393.03	333.89	409.82	344.7	426.41	282.9	516.97	521.6	280.84	384.74	445.03	380.13	443.95
IL10	100	82.95	34.06	262.49	164.87	125.86	65.86	44.12	110.59	104.97	135.11	58.26	40.11	44.25	90.89	63.02	19.6	36.27	131.34	27.83	55.01	109.48	228.53	45.62	113.29
IL10RA	100	616.58	163.69	2064.29	731.15	492.44	381.35	538.26	605.58	302.8	1689.92	924.35	382.34	913.17	267.7	590.36	374.94	313.73	1999.43	446.35	318.48	960.3	1359.16	655.52	1175.71
IL11	91.67	30.41	12.88	54.37	34.41	53.49	22.77	12.13	31.6	15.25	70.67	137.88	50.8	76.43	42.96	24.44	40.84	65.28	209.58	68.04	86.86	162.66	204.48	123.33	90.32
