	Tbet	CD27	CD223	CD25	CD197	CD8a	CD152	CD103	CD107a	MIP1b	CD39	CD137	CD14	IFNg	CD127	IL-2	CD4	CD183	CD274	CD326	CD20	CD56	TNFa	CD3	Ki67	CD45	GZMB	CD95	CD279	CD45RA	File	PatientID	DAY
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.12742	0.260507441337021	3.91531859668015	0.819331319170792	3.64415590219555	0	0.157234018479279	3.2036972047217	0.159087040344768	4.3832063268549	1.24654141674941	5.85471679932762	2.7508877981495	0	0	0	0.400993754177247	2.83835958823491	0.957773625650561	0.567053950128197	0.0998031077761502	0	0.931305533081119	0.616973609762034	5.20070935564477	0	6.14579209584445	0	5.3480760509015	3.05801684497532	0.679678015604485	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.24350	1.04412011924469	0	0.0775873430099271	0.294761415048683	1.32692263754238	0	0.26380115977894	0	4.56161506544865	0.671367182135701	0	0	0	0.133804255000421	0	0.138931413632523	0	1.80001223090734	0.0921663088230732	0.252480843408399	0	3.9044968366205	0	0.19459997369133	1.34018612612532	0	0.263611732914739	1.84106604416078	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18671	0.91167679340366	0	0	0	0	0	0	4.82583312285842	0	2.15172791723058	0	0	0	0.0236424071476501	0	0.0840606985825717	0	0.877523889867466	0	0	0	4.0954205141617	0	0	0.150855381300053	3.55693053864225	0.106777389389789	2.81709726385115	1.33680043089425	0.872873526064905	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.22555	0	0	0.351828351130547	0.0650672759360657	0	0	0	0.0407577313979586	3.30316891120746	0.119616503351571	0.522072109096627	0	0	1.36234324532825	0	0.985428481909094	0	0	0.547602040628697	0	0	5.02565987759952	0.630487291433457	0	0	0	0	3.26594896284208	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.5757	3.6264573165018	0	0	0.35827239425129	0.129429979268295	3.21894434082883	0.0088149560824952	0	3.71208468741877	6.50980319735118	1.71538751718484	0	0.455537655715712	0	0.42780930209958	0	0	0	0	0	0	3.08990398706562	1.59360105410327	0	0	4.89006117679833	4.34335475018148	2.19839903566022	0.160596468478798	4.93876080118211	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.15288	1.40697648460343	0	0.774096588961247	0	0	0	0.764012303490793	3.56906818080704	0	3.61194970596013	6.70888951206366	3.47498198112792	1.24000234313049	1.82231012613772	1.29141477895758	0	0	1.09355125285091	0.808909183143763	0	0	0	0.377318098843454	6.03384412587415	0.543587034018992	5.70197092111933	1.32675007668125	4.71716375253356	2.21877569248392	0	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.4427	0	0	0	0.73258186914931	0	0	0	0	3.43623270603924	0	0	0.722116390593973	0.192108336433038	1.66307392437903	0	0	0.0398472977104551	1.3191773903967	1.63414841394821	0	0.309414575600613	5.95583351851212	0.873482804650843	0	0.435370357171439	0	0.20230078864706	3.31745002640893	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.20984	0	0	0	0	0	0	0	0	3.82126918421157	0	0.626488721041029	0	0.360066065778428	0	0	0	0	0	0	0.410108156596555	0.403462619925878	3.05777447517152	0	0	0	0	0	3.33094907489668	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.8620	0.869565526627532	0	0.374342683713411	0	3.20139882783393	4.38692512408477	0	0	0	2.46085410939923	1.8625173365208	0	0	0.42823055624418	0.188307095790197	0	0	0.270320692020853	0	0	0.264054820178157	0.446108892027543	1.91034137080864	3.60091829810371	0.985771445916725	5.02657908711163	0.129147989455983	2.69957429383264	1.89022477747962	0	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.9787	0	0	0	0	0	0	0	0	2.51954641823331	0.0286065184582135	0.607747114574119	0	0.759315086644411	0	0	0	0	0	0.684839445835023	0.182243843518218	0	4.81380092035833	0.252781984828819	0	0	0	0	3.27242905693619	0	0.92016109670392	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.13167	1.0438164988586	0	0	0	0	0.961379601531182	2.05791414899399	0.657585737279398	2.32626045203807	3.57862602892199	2.8658589422634	0.0132312132737872	0	2.8154609874194	0.389489397805261	2.18047388887391	3.07313475785074	2.21751951034498	0.89465633062306	1.17240821749259	0	0	4.47436966984788	4.88136003787696	0.26813859312473	5.56180380029312	0.306631277126057	4.53429409470242	3.9614858022725	0	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18886	0	0	0	0	1.92756841737144	0.504838711664884	0	0	1.59827494640082	0	0	0	0	0	0.00921820385281387	0.404032779415898	0.210136724027893	0	1.27456838323459	0	0	0	0	0	0	0.750045897751192	0	0	0.363015012776862	1.62941964899378	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.20150	0	0	0	0.483533017517998	0	0	0	0	3.07323635671813	0.891946109395609	0	0	0	2.2844825705306	0	0	0	0	0	0	0.218528190750255	4.38635632516735	0.253408405311509	0	0	0	0	3.25671202314702	0.410019886047671	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.5170	0	0	0	0.55420984796786	0	0	0	0	3.23517894028481	0	0	0	0	0	0	0	0	0	0	0.0393045873794565	0	4.21684040156501	0	0.187911872966634	0	0	0	4.20553421470293	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.4093	0.521237291214186	0	0	0	0	0	0	0	1.83718575608558	0	0.0793791518847682	0.038504038339866	0	1.00925831866042	0	0.0350257659240686	0	0	0	0	0	3.73835236709085	0	0	1.08885816116821	0	0	3.74670314867806	0	0.332331788113344	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.26149	0.111919400447084	0	1.0144199422088	0	0	0	0	0.372945180819117	4.38442344091672	0	0.609730289159841	0.0894522879789317	0	0	0	0	0.319325068233404	0.855148850104546	1.87567758189141	1.01997831008365	0.690604197127714	6.16424858621663	1.19017144141123	0	0.0837799247785225	0.585229705280437	0	4.4545206484694	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.24780	1.01442477112249	0	0	0.220732422332374	0	0	0	0.941447964097751	4.22718456778436	0	0.187838100759429	0.628384687082806	0	0	0	0	0	0.535269481653576	0.0259246008772682	0	0	3.39787623990741	0	0	0	0	0	2.10285095530064	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.13536	0	4.0819035864629	0.204587024315538	1.49231743268418	0	0	4.10722468801393	0	2.73243304916392	1.52719790928538	5.88388898986486	1.62756809600561	0.491546199063789	0	0	0.570811347171129	3.43205355199653	1.22092205433536	0.812194869589019	0	0	0	0.952523361266417	4.54576117422931	0	5.65019188288547	2.76580017623543	5.49966888318124	3.03332777512693	0	export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.12579	0.368527663793189	0	0	0	0	0	0	0	2.50287639543129	0	0	0	0.325625377634835	0.202207876436509	0	0	0	0	0	0	0.59320868492513	4.13868285154711	0	0.417085296701653	0	0	0	3.5087544118415	0.37787933148938	0.224664360891211	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18264	0	0	0	0.530972273184822	0.267713350010883	0	0	0	3.29051516498824	0	0.0489633457605536	0	0	1.59863339935056	0.0103836063734355	0.702276636270537	0	0.113360264121496	3.15626501324911	0	0.285493163362986	7.34640193029931	1.81597151894486	0.588871837428049	0	0	0.789992157734539	4.1248125253418	0	0.573509753967805	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
