,Tbet,CD27,CD223,CD25,CD197,CD8a,CD152,CD103,CD107a,MIP1b,CD39,CD137,CD14,IFNg,CD127,IL-2,CD4,CD183,CD274,CD326,CD20,CD56,TNFa,CD3,Ki67,CD45,GZMB,CD95,CD279,CD45RA,File,PatientID,DAY
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.6326",2.479753788,3.027950794,2.648445776,3.596166721,0,1.467694703,4.68713237,0.195035885,2.841848788,2.88819156,6.999862923,3.541065021,2.006230663,0,0.673861915,0.791862229,4.299120011,1.182513815,0.324194118,0,0,0.902410107,1.133763822,4.997293964,0.572401588,5.513677987,3.392483404,5.687178082,5.599521482,0.671250786,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.13269",0,0,0,0,0.129800417,0,0,0,1.942765974,0,0.921373451,0,0,0,0,0,0,0.18363152,0,0.827627894,0,4.402304856,0,0,1.302534731,0,0,3.368377366,0,0.274240756,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.7114",0,0.750431012,3.373011603,0,0,0,0,2.586150438,0.348226549,6.234788368,4.633633692,0,0.873809888,0.113422875,0,0,0,0,0,0,0,4.202708945,0,0,0,4.305420973,3.585989906,4.580680612,1.165680701,7.748740501,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18152",1.754008179,1.156270053,0.322563419,0.323549108,3.059753143,0.667489655,0,0,1.573461341,0,0.1024824,0,0.098702521,0,1.110006359,0,1.749090546,1.737869581,0,0,0.03401119,0.246796377,0.093554561,4.597120149,0.879445252,5.785470674,0,4.467245066,2.572843521,0,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.25996",0,0,0,0,0.329646979,0,0,0.714781051,3.64948133,0,0.796726045,0.529241144,0.13689442,0.453326211,0,0.200490736,0,0,0.95862322,0,0.007066063,4.891077934,0.49872702,0,0,0.012247182,0,3.399736012,0,0.042388247,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.24896",0,0,0,0.434966682,0,0,0,0,2.582720795,0,0,0,0,0.675124994,0,0,0,0,0,0.21123854,0,0.836645846,0,0,0.665768072,0,0,2.295618006,0.059268578,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.30820",0.362248523,0,0,0.102350366,0.641804913,0,0,0,3.242533788,0.05211995,0,0,0,0,0,0.316688651,0,0,0.178442519,0.062162126,0,4.426018175,0,0,0.589549551,0,0,2.563075685,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.9889",0,0.301122282,0,0.223672694,1.126831929,0,0,4.576266884,1.941493084,2.54247015,0.362470425,0,0.072554424,0.169619903,0.120306392,0,0,2.440357015,0.733652365,0,0,4.283120222,0.60077007,0,0,1.023640741,1.760206151,1.633858914,0,3.062269319,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.2792",0,0,0,0.57978122,0.050645442,1.203779307,0,3.825533641,1.053233448,2.39819834,0.616919526,0,0,0.003529674,0.447361229,0.745031205,0,2.252487426,0.229420805,0,0.109490273,3.030727225,0.052206193,0,0.204479373,3.084041712,4.725993405,2.745806936,0.16447447,0.044064039,"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18305",1.317060933,4.285628207,0.404252882,0.974348075,1.059482146,5.996717199,0.836045783,5.753341807,2.178992817,3.925808701,5.768883347,0.540470121,0,1.287735746,0.222032641,0,0,2.927660031,1.759183417,1.04522508,0,0,0.091922077,4.825793182,0.517059752,5.857096388,1.987029988,4.578133736,4.955907419,0.008436137,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
