	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
MAGI2	182.3653	116.4545	151.73107	159.26762	178.75237	287.32554	222.36764	262.29734	156.65262	103.68953	123.4344	109.6959	991.3143	548.84288	242.46036	260.84173
MAGI3	45.9779	305.967	255.3365	201.619	109.442	73.55	833.003	54.2042	605.742	211.0923	122.71	81.5732	145.735	361	420.0294	190.7832
MAGIX	11	49.264566	5.5667	45.44318	55.41969	44.26746	71.16676	149.813	0	51.2005	30.00681	51.96343	51.087	19.1466	67.2463	35.32354
MAGOH	41.2622	644.00038	168.1648	38.6086	666.814	143.22508	363.168	115.60572	268.874	436.4247	199.158	84.99887	495.451	43	154.136	192.81188
MAGOHB	64.7775	171.8493	107.4246	85.3926	121.4938	33.538	178.5977	77.7058	33.5811	260.916	80.09222	93.8156	75.8628	259.153	137.2342	82.1571
MAGT1	770.7313	1464.4045	108.4574	325.8169	677.8371	628.5018	1395.0034	549.176	551.46	426.063	784.929	956.8701	1200.35722	606.11613	687.866	537.652
MAIP1	64.9945	86.1622	37.6282	41	80.0325	155.7091	136.98	114.5527	57	103.49403	82.94715	124.0707	22.9557	61	67.925245	62.56
MAJIN	0	62.5563	11	0	32	0	0	0	0	0	15	1	0	0	15	2
MAK	119.345	187.8207	91.9759	61.5149	81.9972	83.90451	83.8929	229.98	50.0511	50.62435	56.06957	100.522	38.1382	47.28257	79.5295	75.4152
MAL	37.99999	15	253.00002	19.99999	136	278	376.0007	33.00004	25	176.567627	0	148.7788	95	0	0	368.1527
MAL2	1057	2820.0013	2360.99994	545.99979	939.99951	1085.00338	1045.998	1149.0009	1669.99627	5256.0044	4236.99672	1204.0021	4638.9954	198	295	1429.9988
MALL	188.1066	901.152	135.18	94.8442	219.232	319.565	169.2742	75.8845	195.6047	127.6282	71.0753	190.8273	428.576	95.8521	185.5048	153.7498
MALRD1	0	0	0	9	0	0	0	0	0	3.00109	0	5	1	57	7	15.77925
MALSU1	381.41	329.487	34.6451	68.859	19.9992	16.7112	25.3869	56.381	317.066	122.235	5.31685	41.1203	164.048	0	212.924	18.0929
MALT1	880.5053	764.3333	710.555	663.1212	1024.7669	684.51692	719.9534	477.034	528.437	1077.0943	1102.4563	711.239	810.656	483.3761	773.5409	810.2712
MAMDC2	86	15	72.48578	104	168.779	99.00001	0	129.746	255.9999	304	129	372.193	0	347.0005	107	140.219
MAMDC4	46	31.3754	8.86577	20.96305	14.0419	4.61352	74.0579	174.6820252	11	22.6659	4.000001051	26.2962	1.53160350210786e-322	0	22.0719	16.9865
MAML1	890.353	1303.11	793.272	483.553	1320.84	1165.46	777.764	869.91	504.35	657.443	644.098	546.625	592.676	307.282	415.028	623.033
MAML2	1995.857	2336.01	1358.308	1117.7983	1921.086	1911.567	1143.911	1189.963	2220.25	1527.958	2853.266	1667.246	1328.339	2335.629	1639.188	1382.998
MAML3	341.1929	910.05046	593.2308	205.08009	450.1527	494.4939	1036.507	575.5442	372.2257	570.9797	351.0796	232.063	764.1113	348.9997	433.5858	493.4367
MAMLD1	85.8882	142.3308	137.8187	79.62771	626.9517	94	74.00001	173.77463	54.4608	283.19657	10	30.08564	177.7975	1	14.85182	101.96386
MAMSTR	0	37.891129	54.88189	1.31E-147	4.365986	13.64649	0.119133	117.11677	2.75117	28.5412	60.77511	17.197804	6.116535	0	3.00E-72	27.62268
MAN1A1	1224	1122	1312	2277	680	2732	2410	748	2148	211	2474	2877	2151	1263	2780	1076
MAN1A2	2548.2276	3169.6367	2847.3379	1700.9224	2271.126771	2261.08183	4105.1637	2399.47	4913.1854	7538.5763	4753.3319	4299.7995	6148.66	4735.84	7750.1564	3022.791
MAN1B1	2.55167	574.23884	265.84708	121.9904	407.8834	510.53675	953.6305	192.52032	123.028	541.0169	224.92563	58.6541	5.65E-184	0	25.5039	245.9935
MAN1C1	146.344194	81.5903	236.4903	379.7656	103.8658	325.311	61.4931	125.6714	76.1685	51.3299	120.0523	297.5338	93.3171	803.5112082	170.721	186.05603
MAN2A1	708.212	531.062	642.669	574.416	571.078	705.071	795.117	381.1	926.26	357.707	1290.61	937.643	1282.41	518.491	1424.8	638.165
MAN2A2	400.4132	181.15024	236.90198	159.0863819	411.72802	409.68971	417.71699	349.62301	311.1800908	153.589422	97.4846	129.21703	158.54746	0	157.39217	178.29904
MAN2B1	506.49	851.71422	557.72	646.77149	1048.98	1486.0656	873.8462	1080.7	528.994	441.763	405.36027	510.135	21.3693	250.631	436.4787	221.4338346
MAN2B2	734.2806	1264.069	555.894	750.625	563.3217	1321.6004	1067.753	950.1693	580.208	386.3727	299.2402	609.4972	518.8748	410.8906	471.135	495.59134
MAN2C1	147.11485	45.71406	121.2197	284.1023	86.4732	231.6821	164.15	514.937	170.19269	59.28862	93.1186	101.3516	38.06919	115	119.9418	227.7364
MANBA	463.5191	511.546	298.4845	303.899	877.7334	597.387	330.287	374.771	351.089	420.6763	524.355	406.8333	217.243	230.678	469.004	320.452
MANBAL	201.5716	359.0001	160.9731	200.45691	232.1881	377.99978	425.2786	152	175.9996	107.4532	71	128	58	33	112.0755	120.0511
MANEA	415	271.0004	223.39652	352.99966	130	271	183	179.00182	617.2706	670.9997	374	593.34695	272.9999	119	703.9996	199.494
MANEAL	118	33.99996	33	5	13	27.0000451	11	33.99999	29.99996	13.753	0	0	10.6102	0	5	8
MANF	304.639	239.776	451.996	301.624	426.428	238.278	681.548	372.632	335	319.786	210.766	244.671	3.50786608547285e-322	637	75.246	300.309
MANSC1	209.37386	626.0052	167.0698	184.479	361.5876	188.7974	499.52548	221.8994	141.60904	163.00458	177.53366	253.385952	245.66822	177.1856	221.547832	268.369
MANSC4	0	5	0	0	0	0	0	0	0	3	22	0	0	0	0	8
MAOA	24.2925	7.94182	34.3771	54.65638	10.7484	404.6962	265.4939	31	328.791	59.32207	290.3884	219.176	191.4568	263.62763	214.633	25.7389
MAOB	173.74	21	20.4573	587.028	44.6081	239.193	483.524	142.726	1113	37.4273	102.274	304	19.6932	509	84.2464	49
MAP10	42	156	154	125	18	85	16	31	140	76	85	78	0	0	69	83
MAP1A	842	693	1009	892	1733.004	1357	520	1024	733	431	69	586	116	1040	810	1041
MAP1B	1.37E-197	0	20.9697	58.9938	59.2769	94.9854	18.18028	69.1292	2.41E-136	0	173.25	305.796	128.987	291.32	1.77863632502849e-322	9.17E-303
MAP1LC3A	21	117	69.99993	110.00004	200.0935	165.0005	198.0002	88.5451	121.0004	46.99996	17	50.00005	16	0	42.00003	86
MAP1LC3B	380.3912	385.0426	345.0082	338.505	398.1373	423.831	445.462	171.453	44.4369	448.19714	562.942	411.77272	316.526	113.416	45.048	111.705
MAP1LC3B2	25.2023	4.46728	46.3542	23.8881	76.2105	80.9683	32.6043	8.76388	8.26564	78.8138	23.8698	56.305	90.1525	158.072	41.2638	6.94995
MAP1LC3C	11.1019	7.33221	4.4991	15.0066	4.08155	9.69845	19.991	31.8222	17.8575	10.3031	5.01262	7.93815	4.05436	1.00052	16.0614	13.811
MAP1S	122.6892	583.8639	244.6079	195.131	661.2134	408.914	540.2086	826.8	137.269	265.133	168.65768	133.5589	152.063289	42.5702	102.35509	129.766
MAP2	1711.7023	1057.617	1386.6785	344.08396	347.3679	987.84766	10.4469	1453.477391	463.9886	1347.9016	368.73736	374.97649	59.99996	138.012	297.528	1047.73485
MAP2K1	368.555	844.553	224.1619	181.76	353.95189	273.5368	311.52365	173.9069	105.7425	221.7557	201.683	178.2478	229.759	165	204.646	86.6374
MAP2K2	521.453	491.104	340.4142	215.54042	994.3847	671.1289	389.2079	790.411	223.054	382.09748	391.7999	90.0763	305.707	42.909	56.27361	79.8816
MAP2K3	159.412	60.4717	30.0294	42.84423	0	185.37499	211.5872	205.2882	164.7019	22.43026025	51.6491	46.20192	35.95286	147	95.730614	70.82896032
MAP2K4	120.5748	175.632	161.44	174.455	165.686	291.1576	235.915	174.4656	312.252	291.375	454.304	252.0924	212.616	61.5611	235.6261	130.7216
MAP2K5	219.939	102.45268	157.8675	151.07371	48.7923	126.4996	168	103.1118	339.2645	153.491956	99.7345	71.4368	27.54978	457.852	139.3642	147.7743
MAP2K6	214.97138	301.7271	101.3663	155.04954	311.5826	149.69464	267.55708	156.0605	312.686	147.34714	30.55424	163.8264	164.4948	121.0121	99.19983	80.8926
MAP2K7	55.213	220.118855	240.3966	132.1691	155.431464	266.713	155.0182	451.721	96.0954	132.7335	189.459	208.83062	156.265	183.221	65.2951	171.3806
MAP3K1	1542	1697	909.967	905.168	1027	1500.8	1552.61	1078	1116.95	1613.14	2987.78	2683.61	2232.95	1702	1827.22	815.326
MAP3K10	8.66689	47.6444	40.7543	127.091	76.4482	64.7237	40.5165	175.046	3.77022	9.00803	8.21985	14.844	0	0	8.06275	12.098
MAP3K11	241.1321	907.21033	222.0778	95.437	761.0649	589.6712	504.2356	466.098	191.702321	408.97743	104.8475	186.11026	246.0114	251.8744	182.35726	119.78402
MAP3K12	345.6101	348.302	738.04505	458.3979	1124.01021	356.515	797.9896	871.4205	408.664	478.7666	521.601	259.22064	883.261	841.0349	181.749	539.79831
MAP3K13	414.14984	1396.1135	858.12825	566.3358	707.06455	1050.70186	852.5866	1000.913493	685.19457	682.48333	947.24274	643.97178	483.3412	315.39864	433.84731	659.34129
MAP3K14	283.482	300.785	254.7902	296.5268	333.8887	330.722	539.564	359.987	205.9401	117.2549	114.43011	189.5998	279.0992	436.3	251.187	197.23417
MAP3K15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22522713759971e-322	4.30331177527726e-321
MAP3K19	88.2613	0	0	0	0	15	0	0	7	1	10	0	0	15	5	1
MAP3K2	1837.9992	2676.0007	1797.9998	1496.002	1846.9989	2265.0032	1574.9978	1169.001	2561.0011	2063.0042	2082.004	2258.9999	3127.9991	1450	1913.996	1416.9997
MAP3K20	679.5058	372.7086	790.6432	767.55172	607.282	983.9932	1245.8838	746.528	1204.1174	718.6932	650.7856	918.0011	1160.571	1257.652	637.4435	468.51596
MAP3K21	243.0001	253	384.9994	171.9999	288.9995	195.0001	806.0003	242.0004	323.9997	336.9999	310	174.9999	135	0	128.9999	194.0001
MAP3K3	329.278	731.1878	460.9822	513.9288	1184.9368	762.182	243.5993	826.8312	404.342	394.45591	257.3041	323.5768	149.9999054	407.4722	262.7855496	164.6244
MAP3K4	396.449	105.7203	37.6837	219.0222811	283.726	265.4157	1319.1781	0	405.94336	146.857	416.2692	313.45166	467.7868	0	502.0684	318.015
MAP3K5	259.346	462.743	524.331	406.707	264	1178.72	385.952	312	639.842	180.564	1015.29	376.068	498.684	637.383	674.623	641.233
MAP3K6	253.373	368.524	247	208.2831	305	424.6477	313.1162	552.4732541	70.23652	183.647	197.0001	187.6854	85.8856	238.2111	156.00002	138.4163
MAP3K7	1210.3794	825.3169	842.0863	680.177336	662.8442038	1234.3927	1387.7199	1447.711	1405.262	2010.3132	647.61039	1128.556297	1525.845	614	602.4796	594.2051391
MAP3K7CL	206.8432	60.0675	35.147831	32.4563	77.26973	70.071474	70.0062	83.2739942	53	29.38185	98.1529	55.0221	48	294	102.9456	112.98903
MAP3K8	304.9737	306.0005	255.2825	344.0002	177	314	227.0001	328.3855	444.0003	433.9996	549.8274	1177.2364	172	475.4168423	468.0009	182.0001
MAP3K9	474.324	356.8684	318.902552	136.4459	178.6272	353.17898	749.246295	477.6592	99.9001	206.4305	63.2116	259.0506	459.6203	1.00222	62.48317	179.56773
MAP4	4136.1631	3002.11591	2611.7444	2157.9485	2813.4581	2398.46262	3254.51803	3018.11153	1470.11547	2807.85137	1420.0589	1920.87062	2194.11603	1789.24817	2351.1352	2064.5033
MAP4K1	0	33.8032	38.46526	116.14546	10.0632	111.0362	55.01116	227.983	37.1831	96.09536147	10.19302	31.69446	1.01994	0	57.12348	25.220978
MAP4K2	164.1845	131.0540347	163.4981	144.1663	92.9153	133.8336	205.9802	508.918	125.1649	87.6829	18.8493	99.97444	64.2191	9.79801	160.079	34.8085
MAP4K3	855.67408	472.2252	548.3932	429.31811	460.0499	889.1508	724.8776	650.0114	704.5968	460.7943	522.39317	650.3049	1479.9025	244.9945	579.664	586.903064
MAP4K4	7344.5546	3906.2535	5514.548	5549.9813	4009.677	5023.8246	3003.5418	4729.53837	4949.3405	3511.4832	2691.694532	4987.283989	5672.32494	7459.8288	4251.5456	3803.5544
MAP4K5	1260.8226	915.631	383.8214	660.89799	290.38299	1186.24502	875.71	1244.1823	786.7164	1242.85931	668.268	830.98659	884.147	386.5377	776.68061	757.66582
MAP6	36.4167	0	77.99997891	11	41	97	184.0004	33.99999	43	20.99999	0	16.99995	58	38	33.99997	51
MAP6D1	59.2041	25	29.4617	28	8.72208	13	70	50	31	19	20	12.8445	7	0	15	38
