	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
FGF20	14	0	0	0	4	2	40.99999	14	0	0	0	6	0	0	0	0
FGF21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FGF22	0	0	2.000004	4	0	0	0	0	0	0	0	0	0	0	0	1
FGF23	1262.38	756.899	932.328	981.666	2765.73	3439.78	5296.26	4709.2	859.436	2082.83	887.263	1765.88	986.508	1377.77	1599.14	3399.56
FGF3	0	0	0	12	0	0	0	0	15	0	0	0	0	0	0	7
FGF4	0	0	0	64	0	0	0	0	133	0	0	0	0	0	0	0
FGF5	122.404	64.6863	144.581	110.171	31.255	54.6928	86.3522	118.314	37.837	104.37	127.413	72.144	163.141	5.32407	96.8917	90.9724
FGF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF7	38.63156	74.0368	141.3539	205.40501	20.28583	259.2436	18.07926	91.8507	200.0842	124.90275	385.9677	719.6154	222.5995	284.2749	542.6879	95.70198
FGF8	18	11	11	19	9	7	17	15	20	18	10	9	5	23	22	24.999996
FGF9	268.718	0	69.9526	5.62293	16.7807	26.4792	66.4188	31.874	0	51.7856	81.6416	77.3404	15.6053	161.271	0	56.4541
FGFBP1	0	45	0	0	4	6	2	0	0	101	0	10	0	0	0	3
FGFBP2	23	0	0	0	0	6	0	0	0	0	0	4	33	0	0	0
FGFBP3	10	5	4	30	97	26	23	11	12	41	4	0	30	0	4	28
FGFR1	817.8765082	578.8627349	623.9058	1374.199931	888.114	1100.521884	6920.98961	1081.94032	885.267	958.20932	115.8749	425.6294	2813.3918	55.46353	158.8644043	543.19051
FGFR1OP	451.321	453.5968	517.6799	615.2345	435.5689	481.8746	920.136	847.3943	387.262	754.7611	298.6514	580.501	515.7066	598.4102	698.19	557.36251
FGFR1OP2	602.20102	1081.981	576.2905	515.27	905.256	755.31171	353.497	506.5124	691.08898	1103.9062	989.5984	1152.07136	1618.4539	649.001	1534.5469	636.78302
FGFR2	1040.265	704.0365	1378.37801	438.3755	1983.31261	958.0586	1089.08355	2221.391	267.3165	1552.483239	1239.0974	520.29305	1175.993	366.79457	543.167	1139.22311
FGFR3	572.54922	98.29818	21.80472	186.6964	38.8168	61.992709	57.938	465.4828	336.8867	114.7573	0	31.7125	0	4.12244	7.23445	13.32249
FGFR4	83.27663	60.29227	14.717919	0	11.04475	15.15161	9.66624	61.82572	1.0985	40.10678	9	36.88595	0	0	6.66409	6
FGFRL1	802	1444.9976	449.0003	192.03528	2375.004	673.4801	897.0005	1031.0013	205.9996	595.9997	158.0001	128.99997	366.99966	155	136.99983	342.0004
FGG	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0
FGGY	30.6197	43.95392	0	38.26564	68.39577	47.95489	49.86721	335.6211401	91.8567	66.33706	197.72828	60.69927	186.41173	0	118.879	51.8311
FGL1	0	0	0	0	0	0	0	4	0	0	17	0	0	0	0	6
FGL2	337.01	1250.047	544.088	1281.96	641.647	1769.561	293.255	594.082	2103.097	749.799	1189.047	2765.49	568.09471	1053	3315.09	755.37
FGR	80	84	108.99998	39	26	372.77826	49.00003	5	38	37	47	304.8384	39	41	110.99993	43.10577
FH	257	516.557	198.776	64.5191	611.109	228.964	450.913	302.444	135.077	533.675	388.428	369.974	271.116	0	374.832	242.841
FHAD1	216.7509036	131.1211	126.94354	95.55832	95.77059	187.625	285.9241	362.330876	239.2511	412.67593	20	108.53439	0	82.3532	94.91003	164.04479
FHDC1	330.186	313.547	138.2187	100.888	320.862	156.028	264.506	140.36	79.7931	107.513	259.157	101.841	570.434	56	175.36	139.4123
FHIT	39.17616	27.8981	21.38693	33.55364	9.69438	47.36135	146.3417	37.606196	0	42.1276	47.88926	18.36597	17.7215	0	57.98519	33.5044
FHL1	158.51728	20.99999	182.66212	191.10854	607.42116	348.9786	127.4609	116.93721	877.6408	211.98272	804.4478	605.174795	191.626883	617.00035	89.531747	133.25204
FHL2	797.61438	166.46122	258.65176	229.9614	965.2102	562.49961	1149.66893	255.8025	176.24726	337.15202	536.41667	266.3069	496.5826	0	246.81246	256.5645
FHL3	57.3451	189.021	6.34E-55	43.4984	7.14418	207.227	22.8226	64.3911	2.31E-294	66.5717	8.30522	41.4067	8.57697961180404e-321	0	6.66077	28.9207
FHL5	0	17	0	9.000005	0	19.00001	4	0	10	6	95	132	6	142	66	2
FHOD1	106.592	154.943	12.6008	14.7645	222.579	253.278	128.18	0	8.69998	76.7549	76.1026	84.6305	5.48412866883784e-322	0	7.68E-75	24.4389
FHOD3	608.2494	63.33490717	529.6254	199.7935	322.0603	455.0001	194.04838	53	132.9998	126.40722	61.14852	70.7575	13	0	172.1447	399.58336
FIBCD1	47	0	0	0	64.37276	3	13	41	5	0	0	1	137	0	6	1.000000006
FIBIN	103	10	253	240	235	552	63	83	149	91	6	42	287	53	78	281
FIBP	81.5444	224.66428	44.9342	53.5924	368.688	185.0061	113.602	163.036	8.64326	151.187	229.8884	43.7813	58.3382	0	31.4497	81.3489
FICD	12	145	70.99996	59.00002	110	139	74.99995	34	148	94	36	86.00001	52	26	113.99987	88
FIG4	381.9998	260.0001	178	200	208	427.9996	601.0005	226	466.0005	333.99979	388.99983	524.0001	493.99928	263	455.0002	244
FIGLA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FIGN	499	64	305.046	207.802	369	492.7491	2	476	308.5106	1013.7072	219	416.471	0	168	138	338.10562
FIGNL1	368.0906	630.99924	221.08571	264.0004	374.9996	257	268.0002	580.94116	291.8089	1151.9993	658.00054	312.99966	369.0007	544.00037	441.3393	250.03011
FIGNL2	3	0	23	18	34	8	0	56	90	18	6	11	0	0	0	28
FILIP1	171.0378	71.4853	596.932	149.432	142.8154	95.91165	186.467	26.8568	121.867	179.89	273	178.3397	120.4242	92.28088	206.419	186.071
FILIP1L	2698.422	877.00027	2334.5246	1957.20537	2209.988815	2647.97141	836.2094	2064.92143	1850.31155	1513.39031	945.8549	3913.9461	1822.7741	3117.592	3249.13848	2198.3546
FIP1L1	155.54	332.252	64.91574	95.9256	73.38996	42.4957	119.8967	66.8435	291.443	401.119	139.751	418.8876	195.549	0	236.6129	117.8235
FIS1	457.581	741.5415	228.24216	394.5875	851.202	573.09749	719.774	273.7534	266.5634	573.94428	412.53895	363.16003	537.13321	479.886	251.3728	151.03022
FITM1	4	0	0	0	0	4	7	0	0	4	0	0	1	0	0	0
FITM2	242.807	70.6874	181.796	83.7137	81.0211	125.182	231.183	212.334	126.486	115.559	109.528	113.528	218.021	22.2651	119.864	199.528
FIZ1	43	74.00002	61.99998	94	68.9999724	171.000193	145.9999	80.99999	77.000024	120.99992	75	54.99997	76	12.00001	15.00004	63
FJX1	100.958	121.904	70.8482	62.4397	117	182.419	168.737	0	1.83976	33.1312	82.017	51	25	0	29.2974	43.1346
FKBP10	3196.166	255.17779	1044.12388	1515.596	1535.1181	1854.58033	2937.51071	957.2115	663.327	565.52347	582.7837	420.6468	90.02871	273.1191	224.94586	842.89987
FKBP11	114.34406	145.1477	56.1874	75.14567	54.09178	65.85983	74.80816	35.5475	67.8371	39.4822	20.17896	61.39392	35.4499	4.97137	37.3133	31.9233
FKBP14	374.419	51.7579	255.221	287.072	204.873	453.689	261.35	181.175	446.496	216.759	107.795	165.025	129.136	150.58	288.635	263.559
FKBP15	1112.58	1678.26669	1097.513	900.89871	1668.096	2078.9988	1370.3972	1284.9978	979.1029	1562.3598	1479.7895	2292.2873	1054.489	2157.001	2013.4892	919.0024
FKBP1A	1195.757	2247.14195	733.7806	651.1935004	957.39853	1596.835	1439.74359	612.4429	1439.98489	1007.42158	938.654	1653.18864	886.5547	985.89688	858.2318659	384.95498
FKBP1B	42	45	48	18	104.445	33.6448	81	41.5421	76.2274	27	12.655695	0.544429	0	0	6	34.52741
FKBP1C	1.2707	2.57197	6.12871	5.19267	0	0	2.45972	0	0	3.64944	0	0	0	0	0	5.94511
FKBP2	286.88481	394.98086	263.9996	253.8192	774.3	337.52061	472.0292	217.0004	71.596356	161.04397	261.5019	174.17956	102	213	148.08076	182.294
FKBP3	638.301	1221.85	228.096	180.55	246.749	558.081	285.031	321.121	197.299	902.1876	502.727	476.532	466.023	243.375	397.3901	259.776
FKBP4	1013.9728	1503.9974	2903.70288	599.8256	3844.22	1213.3113	3268.8034	1644.8698	543.9657	1022.9694	525.71035	774.26277	2150.7798	475.774	375.6591	1772.7029
FKBP5	317.9639	3153.3427	943.3029	1238.233	3692.2293	2782.1144	476.8754	857.9443	1559.212	848.0255	3997.4302	1186.673	1468.819	1636.086	1566.52	549.695
FKBP6	0	0	0	6	2	0	0	0	0	0	2	0	0	0	0	0
FKBP7	319.517	54.73948	159.988	156.7075	148.4805	224.214	78.8542	67.7476	255.372	121.3555	58.5061	81.617	27.92821	43.6005	211.646	117.65936
FKBP8	1606.9999	2695.99736	1006.0003	1051.6315	2999.609446	1835.61953	2436.0787	2777.8162	951.0008	1043.54596	1181.0007	782.10732	740.001	1308.5015	483.9439	494.37269
FKBP9	2544.8097	2525.172	1659.357	1601.29	1237.1231	2648.7272	1950.0737	1734.1609	1070.2612	716.103	290.568	556.8393	915.5066	1429.36	693.2102	1361.3567
FKBPL	37	268.0001	33.9999	30.9999	208.9995	48.9999	200.0001	203	9	56.0001	113.99996	20	57	0	22	12
FKRP	208.91761	64.320064	129.77527	136.096599	134.743	89.877499	210.62704	188.00145	65.2237	86.29197	60.1444	39.50657	44.88991	0	72.60449	45.27537
FKTN	25.541	555.10154	348.6134	138.32542	170.61671	188.93613	235.47678	130.4106	248.1427	452.04394	716.567572	346.5968	517.68709	11.40759	377.8882	274.64778
FLAD1	89.7682	106.0732	145.98096	122.9592	251.0761	41.51938	276.10276	138.7453	54.31809	229.31881	69.57368	185.43028	231.419	80.94	45.28707	143.5247
FLCN	248.786	199.15	272.712672	435.401	299.836	552.0548	192.01849	531.36	257.36498	190.870561	91.1566	132.24088	195.48725	293.89053	198.637	236.428
FLG	111	97	2791	118	20	916	4901	3603	43	1925	0	279	31	70	548	7939
FLG2	21.5311	13.0094	15.1599	10.4009	13.0278	25.5801	9.02904	15.1637	7.21929	18.5685	1.00473	40.2901	12.0337	1.00079	102.222	53.2547
FLI1	11.9177	427.869	271.625	52.3363	420.589	61.3973	634.58	913.341	2.47272000000962e-313	70.228	770.339	1148.4095	336	1616.49	1188.54365	57.9365
FLII	1305.9276	1148.326	1207.5552	949.0346	1702.59789	2406.194275	1760.64142	1269.842	1122.344	1007.05246	714.5069	956.6849	123.1095	0	340.95332	838.22529
FLNA	21496.5152	16895.6837	15327.563	12576.548	94697.8101	33551.6534	12141.3772	15901.7426	10476.854	7669.076	24526.0776	9487.616	12654.521	7214.908	6698.8919	10020.1985
FLNB	7427.8851	6435.1614	3880.335009	1942.718	3738.168	3657.70109	7491.3867	4600.266	2157.087582	3741.65454	2671.73949	2603.4935	6287.20647	1365.74	1854.74541	3058.4004
FLNC	626.663	89.9104	617.385	1431.07	340.465	506.288	329.436	665.518	1025	0	784.001	0	79.0182	2781.48	434.459	462.585
FLOT1	1186.6727	3807.638078	1561.5391	1147.60054	7292.251264	2814.63018	2842.192792	3048.0468	1061.12468	961.95992	1316.183	1197.497625	317.6466501	2236.4137	393.45535	1204.00196
FLOT2	243.3229	232.4015	157.387	206.28121	549.011	756.60403	405.919	609.517	322.2318	257.578	305.2575	62.50923	407.1609	89.7336	51.5366	223.8331
FLRT1	40	31	14	59	4	17	36	98	0	17	6	6	0	95	22	8
FLRT2	1269.422	143.445	818.9	1160.167	288.2178	1007.946	203.501	753.5853	607.42	252.99015	1621.441	2393.897	160.5351	11252.49	3017.449	1091.5199
FLRT3	324.359	49.9969	25	91	11	216.4487	104.93	86	227.4695	138.139	235.66	405.8918	1316.504	341	195.1448	35.0856
FLT1	1263.0723	1317.1972	712.778	418.99197	520.578505	465.459981	915.285	568.1411	287.33126	680.17738	113.49158	482.1128	250.531	460.8417	524.96273	424.9933
FLT3LG	30.99957	19.70476	74.9231	72.20922	37.589496	60.703395	30.70471	40.5678	29.1151	39.48616	2.17457	42.03315	29.7111	6.339	49.438814	54.9518
FLT4	16.6392	85.2668	49.4011	119.488	103.272	63.1335	91.9813	99.5829	43.00002	41.5475	49.6907	46.8361	7	41.916	9.68158	38.57955
FLVCR1	249.0818	294.125	402.3933	141.3696	405.986	178.3811	649.9518	448.592	284.2338	214.22137	150.404	145.8577	164.146	27.4476	260.315	254.2344
FLVCR2	77.0125	100.99445	92.645345	68.000026	60.99999	161.3686	121.001	3	112	45	139.93957	214.32591	78	141.6036	172	65.49526
FLYWCH1	60.100851	208.13729	127.6544	155.3017	394.72277	109.10275	37.91794	102.3263	83.70404	27.45902	17.5497	58.19235	155.37219	120.4419	42.05276	40.972143
FLYWCH2	48.2208	31.8688	54.3805	81	204.3457	76.97336	154.35689	154.2358	50	86	17.3773	51.8637	108.492	66	28.6909	55.06908
FMC1	2.6689	9.83636	32.2427	10.7668	50.3544	30.2836	33.5262	19.5539	29.9341	33.1186	2.1742	22.7363	1.16995	4	31.7517	35.205
FMN1	620.65034	331.27042	426.37442	378.13852	413.80774	585.36602	508.4616	369.37062	364.34302	174.1284	395.51652	444.79528	783.945	693.136	653.4021	507.94016
FMN2	16.3856	0	20.1673	9.53834	17	14.95248	2	24	5.93435	3	15	5	0	0	2	4.22546
FMNL1	299.267701	625.44447	354.1529	675.75178	648.1338	925.4584	240.47132	533.0407	354.8693	126.44415	194.72363	340.04175	64.988458	160.173	206.8704	212.2722
FMNL2	5.92878775009496e-323	344.225	274.087	2.47032822920623e-323	142.019	0	99.9753	226.966	472.17	524.748	81.8881	20.2569	226.654	0	508.316	424.433
FMNL3	854.7832	1324.729	1330.1045	1426.6996	1437.1793	2061.44	1948.524	3747.3027	1395.77457	1460.42918	702.1611	982.1425	2056.793	1082	1351.2377	946.1395
FMO1	12.7213	0	61.5969	4.00242579695994e-320	38.1497	45.3706	0	0	15.8348	0	47.654	84.9046	0	0	25.7129	31.1497
FMO2	46.9502	19.25752	39.6458	79.54826	0	481.7042	598.922	0	246.32151	3.29936	1592.0525	936.421	2137.425	99.4887	413.53309	52.85614
FMO3	3.83025	34	38	24.1905	10.1826	26.00001	113.309	34	6.5621	1.20226	405.015	14.30879	122.082	0	41.59478	25.3415
FMO4	38.7082	31.0835	40.2017	14.6075	0	42.0443	28.444	0	80	12.1376	0	34.0156	27.8351	45	112.294	55.7557
FMO5	11.58717	33.2068	51.8454	22.64213	28	55.2097	51.18634	116.6285	40.2577	77.23021	36.10173	64.1318	41.9226	68.1426	96.2452	66.18188
FMOD	1519.75	198	2010	1542.95	1853.25	2192.61	1191.91	821	994	346.556	511.965	1044	93.8987	1457	966.535	1416
FMR1	5905.2264	7277.8884	1559.1053	1490.6547	6621.9219	1778.25594	1839.1942	3241.484	2107.13926	2009.47513	3783.4063	1705.43814	4141.73035	1262.543	1589.383595	1108.960598
FMR1NB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN1	121090.692	12551.6265	162121.749	111948.5698	111217.03	269319.0592	30924.749	73254.55835	117723.6052	16968.7037	23132.6484	46694.7792	2693.2594	25913.813	52590.489	89105.0948
FN3K	71.6214	105.008	32.1816	43.6426	21.2476	86.9624	51.9682	31.0889	19.2639	40.5047	40.8581	21.8821	76.089	0	26.5609	44.9505
FN3KRP	62.0214	90.0165	35.0073	25.84305	154.927114	0	68.2466	38.3581	16.7212587	73.7001	59.6722	36.05638	1.43279037293961e-322	111.10421	29.7002	45.9559
FNBP1	792.1756	4574.585	1619.345	1216.258	975.65696	1971.009	1757.161	2294.97964	1061.7883	1293.2841	681.7269	1380.0945	2058.823	1472.092	1923.162	761.7729
FNBP1L	1091.495	1365.956	836.18675	784.886	1703.549	866.73	770.1504	969.15	854.0371	973.8961	1457.8488	824.3672	992.257	406.053	678.2954	1167.031
FNBP4	824.65	1822.73962	405.35619	989.396	790.126	697.3438	1018.9202	746.812	666.159	975.686	396.66779	539.44	220.294	346.126	875.708	845.1641
FNDC1	1779.51	25.128	480.568	485.274	657.379	846.173	5.78E-68	655.879	564.823	58.7333	2.01578783503229e-321	83.5971	6.22106	0	730.858	5.52E-119
FNDC10	47	216	62	34	36	36	307	53	15	18	55	30	88	0	0	38
FNDC11	0	0	2	45	38	18	19.00001	116.9999921	58	25.99999	37.000019	15.00002	1	0	19.99997	1
FNDC3A	1907.529	677.894	1115.543	1757.661	790.448	2005.383	1511.73	1306.426	1362.107	2092.863	1769.683	2405.201	1362.5453	622.3918	2183.413	897.0365
FNDC3B	6617.3571	3926.5882	4132.1222	3352.60495	1906.2846	4501.4129	3294.5731	2808.7554	3574.5798	3938.90752	3086.05	3456.021	2600.968	2470.361	3545.1158	3009.00994
FNDC4	25	0	13.2194	38.4923	14.5315	35.1876	173.791	25.3941	5.29E-113	1.43817	4.35E-288	13.2279	6.47225996052033e-321	22.3226	4.40473	19.2553
FNDC5	7.85383	0	6.71298	20	0	80.3753	49.73956	15.1264	5	0	8	14.2326	38.9986	0	21.42581	24.5945
FNDC7	0	0	2	0	0	2	0	0	0	1	20	0	0	0	0	0
FNDC8	8	0	1	0	13	4	18	0	0	0	0	0	0	0	0	5
FNDC9	10	0	9	10	8	5	10	11	38	12	5	7.0000017	0	51	35	8
FNIP1	1181.13	648.964	530.427	676.258	525.941	570.4589	474.7	706.538	539.44	608.084	1242.7819	725.0079	369.38223	552.464	857.6918	973.304
FNIP2	5.15509	44.07921	154.3739	35.03096	36.6867	317.8332	69.8323	85.1679	9.52698	44.6659	50.2883	106.6806	84.6245	0	154.5713	57.74669
FNTA	267.869	122.51038	48.77741	191.52265	399.9016	226.46709	75.52604	317.90282	208.70063	252.69882	123.7217	221.75408	172.736	342.021	21.0563	63.42546
FNTB	172.595	0	1.53366	1.05E-120	110.971	224.091	28.9212	63.4311	125.136	117.774	40.7484	150.408	5.28650241050134e-322	0	27.9813	127.97
FO681492.1	40.1319	30.7223	4.57201	90.3863	178.73572	27.2929	38.5824	32.0456	2.54E-66	31.5135	118.08848	22.13263	65.5606	0	13.0556	102.24
FO681542.1	1.75734	0	0	6.12641400843146e-322	0	0	5.16E-246	51.1302	0	0	6.91691904177745e-322	2.26142	18.6848	0	2.50985348087353e-321	8.71E-215
FOCAD	97.7747172	187.7939	321.41888	193.957	98.73398	701.0919	218.6044	167.839	383.625176	474.6122	599.57027	425.645	225.8216	0	197.7231	404.5117
FOLH1	145.0004	36.78344	79.788	93.2294	67.78502	8	69.7216	173.044	67.91383	119.6776	20.3987	16.7889	2.70253908275162e-321	3	81.5497	45.6916
FOLR1	32	1008.9998	478.00027	34	842.9996	749.0002	1220.9999	1619.0032	9.000002	1720.00047	227	187.0002	491.0004	37	91	376
FOLR2	10.0826	89.9631	65.51678	25.4406	14.71559	178.99998	51	6	73.87030038	11.97311	102	372.56133	0	469.9997	116.89376	23.99996
FOLR3	0	0	2	0	0	0	3	0	0	13.3079	0	4.35802	0	0	0	1.24318
FOPNL	212.787	401.79646	306.33294	211.346	317.90884	193.367674	164.5241	236.4383151	160.95972	649.13754	239.41602	219.6218	529.36551	157.63068	255.52304	178.166
FOS	701.3913	4453.17278	388.83854	10316.281	1636.858	13180.1162	589.27349	4229.01	190.99995	179.30671	787.0413	3971.851	283.7255	13	3167.8925	269.17342
FOSB	62.597	275.11904	75.09713	6602.902	238.27186	3010.5522	50.54338	1861.3407	30.9278	26.36242405	97.84962	1156.661	0	40.00103	784.745	26.90627
FOSL1	28	63.95342	40.00002	21.7557	125	20	58	96	0	62.00002	33	22.00002	0	147.00007	15	17.249025
FOSL2	4370.002	5518.005	9040.999	4564	4949.009	5592.525	3307	5649	2284.002	1384.0047	3203.0007	2641.996	871.999	3117	2311	5896.45
FOXA1	38	668.246	0	0	0	86.3657	0	15	0	6.55694	0	93.7061	67.2612	0	42.8702	6.72917409635778e-321
FOXA2	76	65	4	0	40	2	68	0	0	2	4	0	4	0	2	0
FOXA3	0	0	10	8.999997	4	2	0	7	0	16	0	0	0	0	0	0
FOXB1	247	5	0	239	0	4	4	241	378	274	0	3	4	0	7	6
FOXB2	4.89581	0	2.09628	6.12581	26.1959	5.0952	8.38493	0	12.898	2.06372	1.11105	1.30527	1.05643	3.49411	3.62814	24.326
FOXC1	171	3350	166	23	65	1408	3005	63	87	139	43	687.942	3431	0	288	105
FOXC2	0	0	0	2	4	6	25	0	0	0	0	6.05788	0	0	0	0
FOXD1	10	281	14	1	1	12	0	0	8	0	0	11	0	0	1	1
FOXD2	9	22	8	0	29	11	9	12	0	7	0	1	130	3	39	3
FOXD3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
FOXD4	0	3.98012	8.13144	0	9.92723	0	0	0	1.87250879773832e-321	9	9.97392	23.1528	5	0	4.28738	12.9853
FOXD4L1	0	13.3031	5.49123	1.41302774710597e-321	1.01284	12.2448	28.8009	4.39354	9.33784070639956e-322	1.38132	4.02169435714775e-321	9.19451	0	0	4.49599737715534e-322	12.2284
FOXD4L3	0	0	9.15009576097989e-321	0	0	0	0	14.9292	13	0	1.00789391751614e-321	0	0	0	6.97238	6.62E-131
FOXD4L4	0	0	0	16.5306	0	0	1.53E-17	0	0	0	5.02608	0	0	0	13.2241	0
FOXD4L5	0	33.7168	47.9347	6.46944	15.0272	16.7552	19.1991	64.6773	17	9.61868	4	6.65272	21	0	55.5896	16.0553
FOXD4L6	0	0	7.44261	0	0.032713	0	0	1.82E-06	1.87250879773832e-321	0	1.00789391751614e-321	0	0	0	7.92658	5.73104
FOXE1	84	0	2.00039	19	1	4.00505	18	26	27.0449	1	1.01686	0	0	0	0	9
FOXE3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1
FOXF1	4	24	40	21	11	34	29	0	9	6	6	31	2	0	2	2
FOXF2	172.471	26.4964	88.7364	96.5049	34.2199	17.6129	23.0546	68.3141	57.9707	40.5021	44.3366	38.5423	46.7942	1.30813	25.0911	150.782
FOXG1	58	6	7	33	4	3	75	6	27	3	5	19	1	2	2	21
FOXH1	55	138	39	41	73	41	88	502	7	90	69.5924	17	28	38	48	45
FOXI1	0	0	11	0	0	0	4	0	0	0	0	0	121.99993	0	8	0
FOXI2	0	0	0	1	0	0	0	0	11	0	0	0	0	27	11	8
FOXI3	0	16.0021	34.6917	27.5737	254.438	7.05682	26.0889	134.554	0	79.9554	17	10.3645	1.23516411460312e-321	0	8.18398	35.2467
FOXJ1	532	296	42	77	240	298	170	283	97	33	125	55	0	0	7	28
FOXJ2	404.0616	439.0004	626.7344	452.104	1289.402	742.6758	717.8816	491.3069	339.9999	273.5773	314.079	303.8076	656.0001	323	365.3897	328.6333
FOXJ3	895.02794	1410.7241	1121.464	765.157	999.9719	1109.7922	961.0287	1253.4368	1066.2973	1424.802	1226.66	823.618831	2344.5616	506.941	819.9821	852.6855
FOXK1	1566.3163	1602.76825	1546.52	1648.2534	1494.10497	1647.9986	1786.241	1989.45	1214.821	755.65649	723.4306	574.22348	915.599	661.0642	729.3583	799.4963
FOXK2	386.2334	799.2889	477.6866	326.87051	732.92924	413.9475	342.6429	507.2524	345.31836	637.5009	473.4796	175.59118	214.08791	227.0879	281.31312	328.05833
FOXL1	0	0	0	2	10	4	0	0	0	0	14	12	0	0	0	0
FOXL2	162	20	7	0	2	1	37	0	0	1	0	0	0	0	0	3
FOXL2NB	132.15	9.20634	61.9464	33.3682	47.8368	19.7994	60.6807	71.8714	43.9212	84.6584	30.3969	43.5775	36.622	68.2586	64.4182	52.601
FOXM1	39.1549	789.8139194	298.3385	144.23	1282.4794	320.22753	740.39166	492.888	189.66063	333.032141	288.4747	195.1763	380.1541	0	101.7212	96.42092
FOXN1	0	10	2	0	0	0	0	36	0	1	0	0	9	0	0	0
FOXN2	314.00016	378.0005	506.9997	251.00037	273.9998	518	572.0004	334.0002	707	865	772.0002	782	1578.9967	75	814	338.9992
FOXN3	997.4257	1080.42439	1325.08478	1563.31277	956.70459	2065.03148	866.7908	476.1747	1736.93689	616.72491	1443.10487	1294.057	483.30405	1238.158	1047.88757	693.92431
FOXN4	48	0	3.22856	0	0	0	1	0	1	0	0	0	0	0	0	0
FOXO1	433.153	861.653	519.669	921.684	141.445	1227.25	509.298	554.344	1217.49	925.932	410.565	594.651	403.81	122.326	566.231	483.095
FOXO3	145.9859	405.365	176.445	446.817	0	849.553	286.0329	282.342	491.5906	187.685	443.898	285.607	35.5151	416.72	2.69E-87	110.1574
FOXO4	119.49539	151.26563	159.208	158.82796	106.39302	199.383	151.11298	462.162	157.1436	61.3434	199.4931	118.0742	230.8877	191	77.2165	125
FOXP1	1775.4346	1435.768572	1450.77674	1645.17432	901.105878	2133.9601	893.87535	1024.05743	1728.7952	750.1234	791.626313	1289.66912	2113.396	1385.8747	1926.31211	1368.5909
FOXP2	17.52703	58.04087	31.8063	45.67261	22.48664	29.30173	12.59532	14.92261387	42.81408	28.03138	33.45848598	40.42276	8.685072	55.4736	91.04566	48.08510026
FOXP3	3	45	68	106	33	69	3	18.99996503	45	18	0	4	0	0	45.99995	11
FOXP4	1008.462	1821.1655	7230.843	725.4091	3797.45426	1278.18234	845.7351	1300.976	548.3029	751.534	398.7895	313.6275	92.0165	225.4401041	167.32109	3697.8628
FOXQ1	365	614	592	451	1228	352	353	751	687	921	503	100	11	0	34	383
FOXR1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	23	1
FOXR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXRED1	2.72492519716469e-318	187.488	4.71E-120	18.4888	0	58.5122	0	0	1.33E-188	0	4.18967667673377e-321	0.010334	0	0	28.5242	4.14488
FOXRED2	129.345	254.36	143.26747	154.312	225.744	270.40904	896.402	424.759	109.735	608.4263	253.056	166.93386	91.9219	0	126.42	37.498
FOXS1	21	0	6	0	6	27	38	43	43	15	0	5	6	0	0	0
FP236240.1	0	0	0	1.86756814127991e-321	0	0	0	0	0	0	0	0	0	0	0	0
FP565260.1	362.292	281.496	176.563	219.561	140.904	192.372	223.366	859.87	155.989	352.77	94.6771	166.466	50.2276	10	101.434	91.3829
FP565260.2	39.6362	299.097	64.1659	4.97982	0	235.027	114.011	212.69	1.42E-154	87.9258	37.6191	0	56.6684	0	0	0
FP565260.3	49.8557	40.69075	52.42003	79.6746	0	127.1676	87.1337	94.0005	93.3405	22.23889	81.70022	45.2403	3.0138004396316e-322	162.7498	21.3261	63.1127333
FP565260.4	27.6234	0	2.52997	0	0	0	0	4	0	0	0	0	0	0	0	4.40814
FP565260.6	250.67071	83.05920204	88.53508347	53.6702	375.6825	238.8855	261.6294	273.2768	139.4403	334.5146682	8.42E-61	191.79	107.0953	251.346	51.54782	217.459
FP565260.7	2.51973479379036e-322	0	8.78957	11.5675	0	36.4809	1.03753785626662e-322	3.18697	8.55466	27.601	1.36856183898025e-321	27.8231	42.2487	0	9.375	68.4701
FP565324.1	15	5	37.2196	52.1768	22.5	37.064	14	130.782	5.5	1.10875	25	29.1251	28.5	40.5	18.5	26
FP565324.2	15	5	37.2196	52.1768	22.5	37.064	14	130.782	5.5	1.10875	25	29.1251	28.5	40.5	18.5	26
FPGS	136.69188	683.179	213.0239	112.2787	164.8655	202.29691	348.7761	419.1973	138.57256	265.7569	145.2411	105.43643	31.3624	196.8017	19.47235	80.27359
FPGT	60.514	96.9807	149.82452	128.487	94.1383	174.61871	92.1104	211.666	297.371	228.45671	152.12401	275.13489	196.483	255.973	190.878	118.48026
